name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Isaac Guerendo,RB,2024,Louisville,00-0039363,2024-04-30,,,,,,
Braelon Allen,RB,2024,Wisconsin,00-0039794,2024-04-30,,,,,,
Audric Estime,RB,2024,Notre Dame,00-0039373,2024-04-30,,,,,,
Rasheen Ali,RB,2024,Marshall,00-0039796,2024-04-30,,,,,,
Tyrone Tracy Jr.,RB,2024,Purdue,00-0039384,2024-04-30,,,,,,
Keilan Robinson,RB,2024,Texas,00-0039385,2024-04-30,,,,,,
Isaiah Davis,RB,2024,South Dakota St.,00-0039798,2024-04-30,,,,,,
Kimani Vidal,RB,2024,Troy,00-0039391,2024-04-30,,,,,,
Jase McClellan,RB,2024,Alabama,00-0039393,2024-04-30,,,,,,
Jawhar Jordan,RB,2024,Louisville,00-0039405,2024-04-30,,,,,,
Dylan Laube,RB,2024,New Hampshire,00-0039407,2024-04-30,,,,,,
Marvin Harrison Jr.,WR,2024,Ohio St.,00-0039849,2024-04-30,,,,,,
Malik Nabers,WR,2024,LSU,00-0039337,2024-04-30,,,,,,
Rome Odunze,WR,2024,Washington,00-0039919,2024-04-30,,,,,,
Brian Thomas,WR,2024,LSU,00-0039893,2024-04-30,,,,,,
Xavier Worthy,WR,2024,Texas,00-0039894,2024-04-30,,,,,,
Ricky Pearsall,WR,2024,Florida,00-0039916,2024-04-30,,,,,,
Xavier Legette,WR,2024,South Carolina,00-0039342,2024-04-30,,,,,,
Keon Coleman,WR,2024,Florida St.,00-0039901,2024-04-30,,,,,,
Ladd McConkey,WR,2024,Georgia,00-0039915,2024-04-30,,,,,,
Ja'Lynn Polk,WR,2024,Washington,00-0039907,2024-04-30,,,,,,
Adonai Mitchell,WR,2024,Texas,00-0039890,2024-04-30,,,,,,
Malachi Corley,WR,2024,Western Kentucky,00-0039920,2024-04-30,,,,,,
Jermaine Burton,WR,2024,Alabama,00-0039810,2024-04-30,,,,,,
Roman Wilson,WR,2024,Michigan,00-0039739,2024-04-30,,,,,,
Jalen McMillan,WR,2024,Washington,00-0039855,2024-04-30,,,,,,
Luke McCaffrey,WR,2024,Rice,00-0039355,2024-04-30,,,,,,
Troy Franklin,WR,2024,Oregon,00-0039868,2024-04-30,,,,,,
Javon Baker,WR,2024,Central Florida,00-0039853,2024-04-30,,,,,,
Devontez Walker,WR,2024,North Carolina,00-0039792,2024-04-30,,,,,,
Jacob Cowing,WR,2024,Arizona,00-0039365,2024-04-30,,,,,,
Anthony Gould,WR,2024,Oregon St.,00-0039816,2024-04-30,,,,,,
Ainias Smith,WR,2024,Texas A&M,00-0039747,2024-04-30,,,,,,
Jamari Thrash,WR,2024,Louisville,00-0039379,2024-04-30,,,,,,
Bub Means,WR,2024,Pittsburgh,00-0039386,2024-04-30,,,,,,
Jha'Quan Jackson,WR,2024,Tulane,00-0039392,2024-04-30,,,,,,
Malik Washington,WR,2024,Virginia,00-0039880,2024-04-30,,,,,,
Johnny Wilson,WR,2024,Florida St.,00-0039236,2024-04-30,,,,,,
Casey Washington,WR,2024,Illinois,00-0039394,2024-04-30,,,,,,
