name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
D'Wayne Eskridge,WR,2021,Western Michigan,00-0036620,2021-04-30,2,56,SEA,0.321,0.321,0.871,0.7438,1.321,0.623,0.041,0.623,,,,0.4507042253521127,24,,,28.886245674740483,103.24930918897756,0.8253,55,135.16666666666666,0.03739130434782609,,,5.5,
Tutu Atwell,WR,2021,Louisville,00-0036849,2021-04-30,2,57,LAR,,,,,,,,,,,,,21,,,23.565095155709344,81.22180122378688,0.8646,,,,,,,
Terrace Marshall Jr.,WR,2021,LSU,00-0036955,2021-04-30,2,59,CAR,0.226,0.226,0.68,0.7326666666666667,0.893,,,,,,,0.2386549134835129,21,,,,,0.993,100,73.1,,,,4.8,
Josh Palmer,WR,2021,Tennessee,00-0036988,2021-04-30,3,77,LAC,0.192,0.192,0.505,0.41025,0.613,-1.496,0.12966666666666668,1.803,,,,0.23204689789936492,21,,,,,0.8552,100,47.5,,,,3.3,
Dyami Brown,WR,2021,North Carolina,00-0036626,2021-04-30,3,82,WAS,0.233,0.233,0.911,0.632,0.911,-0.226,-0.226,-0.226,,,,0.30119477632675745,21,,,25.630208333333332,95.53276880501686,0.9272,85,98.54545454545455,,,,4.909090909090909,
Amari Rodgers,WR,2021,Clemson,00-0036991,2021-04-30,3,85,GNB,0.195,0.195,0.678,0.42800000000000005,0.678,0.147,0.268,2.035,,,,0.24390243902439024,21,,,31.30350766645663,101.58091427189677,0.9453,85,92.72727272727273,,,,7,
Nico Collins,WR,2021,Michigan,00-0036554,2021-04-30,3,89,HOU,0.146,0.146,0.843,0.8513333333333334,1.028,,,,,,,0.22355105795768168,22,,,26.167763157894736,111.6486691579471,0.9378,100,60.75,,,,3.0833333333333335,
Anthony Schwartz,WR,2021,Auburn,00-0036999,2021-04-30,3,91,CLE,0.237,0.237,0.461,0.6186666666666667,0.766,-0.532,0.3393333333333333,1.125,,,,0.26908790755262074,21,,,25.22337962962963,111.90034867884242,0.9334,100,64.6,-0.003271537622682661,,,5.4,
Dez Fitzpatrick,WR,2021,Louisville,00-0036627,2021-04-30,4,109,TEN,0.181,0.181,0.859,0.7675000000000001,0.976,-0.922,-2.35,-0.922,,,,0.3104733507267984,23,,,27.439294426721712,108.01359620861858,0.9079,85,75.72727272727273,,,,3.909090909090909,
Amon-Ra St. Brown,WR,2021,USC,00-0036963,2021-04-30,4,112,DET,0.204,0.204,0.676,0.6796666666666668,0.719,0.445,-0.5865,0.445,,,,0.24947807933194155,21,,,27.472922039277922,95.23356767038611,0.9948,80,79.66666666666667,,,,6.833333333333333,
Jaelon Darden,WR,2021,North Texas,00-0036877,2021-04-30,4,129,TAM,0.367,0.367,0.661,0.5015000000000001,0.686,-0.775,-0.29825,0.481,,,,0.4204946996466431,22,,,27.249276008019603,87.16640834198965,0.8167,55,131.88888888888889,-0.0013009540329575022,,,8.222222222222221,
Tylan Wallace,WR,2021,Oklahoma St.,00-0036630,2021-04-30,4,131,BAL,0.271,0.329,0.732,0.8520000000000001,1.077,0.399,-0.11833333333333333,0.399,,,,0.3486692015209126,22,,,27.054552668121403,96.32070875823221,0.9442,85,92.4,0.0032649253731343282,,,5.9,
